title,url,isbn
时空中的美术(巫鸿古代美术史文编二集)(精) (美)巫鸿 生活·读书·新知三联书店 9787108052971艺术理论,https://product.dangdang.com/11780204330.html,9787108052971
黄泉下的美术：宏观中国古代墓葬（精装 新版） 巫鸿先生的代表作，对中国墓葬艺术的综合性研究,https://product.dangdang.com/29452002.html,9787108052988
美术史十议（精装） 著名美术史学者巫鸿对美术史的反思与想象。,https://product.dangdang.com/29400424.html,9787108052995
锦灰堆选本（三联纪念本）,https://product.dangdang.com/28971167.html,9787108067302
自珍集（三联纪念本）,https://product.dangdang.com/28969659.html,9787108067326
持续焦虑：世界范围内的反现代化思潮,https://product.dangdang.com/11119488634.html,9787108068255
透明：中国视觉现代性（1872—1911） 唐宏峰 生活?读书?新知三联书店【锦园图书】 支持发票 如需请联系在线客服,https://product.dangdang.com/11952531371.html,9787108071521
潮汕往事·潮汕浪话 一部潮汕的历史就是“道统”与“盗统”你中有我移步换形的交互史,https://product.dangdang.com/11988825651.html,9787108071750
黄泉下的美术宏观中国古代墓葬开放的艺术史丛书 巫鸿 生活·读书·新知 文物考古 9787108072535正版【尚居苑 正版图书支持开发票 如需帮助请联系在线客服,https://product.dangdang.com/11970735961.html,9787108072535
再造国家：埃及在19世纪 中东研究领域的开创性著作，深受福柯、德里达等人影响的当代经典，影响遍及人文社会科学多个领域，经由埃及、以全新视角看现代世界秩序。关于规训，作者说出了福柯所未言的另一面现实,https://product.dangdang.com/29414014.html,9787108073723
失去的三十年：平成日本经济史 亲历者全景化展现日本失去的三十年，《战后日本经济史》续作,https://product.dangdang.com/29389563.html,9787111698159
什么是物理,https://product.dangdang.com/12100016538.html,9787115633415
克莱因壶（“噩梦体质”日本虚拟现实神作） 入围豆瓣图书Top130，豆瓣热门日系推理图书NO.6！日本虚拟现实VR题材开山神作！什么时候，你开始怀疑这个世界是假的？,https://product.dangdang.com/27933482.html,9787122346032
"99%诱拐 令西泽保彦重读20多遍的高科技推理杰作！讲谈社力赞“空.前绝后的完全犯罪”，与克莱因壶并称冈岛zui高三作,曾获吉川英治奖、这文库本了不起！NO.1",https://product.dangdang.com/29160661.html,9787122376770
活字文化：羊之歌--我的回想 (日)加藤周一 翁家慧 北京出版社【可开电子发票】 【正品保证，进入店铺更多优惠！】,https://product.dangdang.com/11731764129.html,9787200150087
屋里的猫头鹰：张献戏剧集,https://product.dangdang.com/11547738584.html,9787200164244
柏林童年[德]瓦尔特?本雅明天津人民出版社9787201099354 正版旧书，保证质量，此书为单本而非一套，电子发票！,https://product.dangdang.com/11945104835.html,9787201099354
《半七捕物帐 全十册》书口喷绘书盒版！江户时代“福尔摩斯”！日本怪谈罪案集！69篇源自真人事件的探案故事！ 百万字全本全,https://product.dangdang.com/12100012201.html,9787201138183
"石川啄木 短歌 正版图书,下单速发,可开发票",https://product.dangdang.com/11939107886.html,9787201141176
长安客（《狂飙》高启强扮演者张颂文推荐，大唐版《人类群星闪耀时》，李白、杜甫、王维、白居易、元稹等八位诗人的命运特写） 他们是诗国闪耀的群星，他们是长安城里忧伤的年轻人。创造微博700万超级阅读量，当年长安城里的诗人，也和我们一样年轻又迷茫。果麦出品,https://product.dangdang.com/28558256.html,9787201153988
蛤蟆先生去看心理医生 李松蔚推荐 英国国民零基础心理咨询入门书 该不该去看心理医生请先看看这本书见证疗愈与改变的发生 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,https://product.dangdang.com/1689792032.html,9787201161693
影梅庵忆语 纸短情长三部曲之一，后世无数忆语文，尽是后来者，包括《浮生六记》。 纸短情长三部曲之一，后世无数忆语文，尽是后来者，包括《浮生六记》。影梅庵忆语；冒襄；董小宛；关熙潮,https://product.dangdang.com/29141215.html,9787205098636
奔马（一頁文库·三岛由纪夫文集07） 纯粹之刃，少年之血 白鸟坠落般惊人的赴死 *争议、*体现“美与暴烈”的青春献祭式悲剧,https://product.dangdang.com/29224017.html,9787205100636
天人五衰（一頁文库·三岛由纪夫文集09） 三岛绝笔之作，艺术创作的极致终点 在希望破灭的废墟之上 盛放的鲜花与白骨,https://product.dangdang.com/29224019.html,9787205100704
全沉浸末日脚本（当代诗坛领军人物翟永明，暌违数年重磅新作） 当代诗坛领军人物翟永明，暌违数年重磅新作， 一次真正属于我们时代的女性诗歌再出发， 献给所有人的当代诗意观察与宇宙诘问,https://product.dangdang.com/29368366.html,9787205103064
姑获鸟之夏 罗振宇《阅读的方法》推荐,https://product.dangdang.com/29255492.html,9787208077928
涂佛之宴—宴之支度（上） 京极夏彦超长人气巨作汹涌来袭，六种妖怪一一现身荣获日本直木奖作家,https://product.dangdang.com/27882735.html,9787208096851
物尽其用:老百姓的当代艺术 巫鸿作品。中国老百姓默默收集与保存着爱的哲学，一本必须奉献给你的母亲父亲的书。,https://product.dangdang.com/29211539.html,9787208098107
2666(精装版） 21世纪伟大的作品，超过《百年孤独》的惊世之作，从伦敦到纽约，人人都爱波拉尼奥。,https://product.dangdang.com/29180462.html,9787208102019
守门员面对罚点球时的焦虑（2019年诺贝尔文学奖获奖者作品） 余华推荐！德语文学“活着的经典”，维姆·文德斯导演的同名电影原著小说，一场回归语言本质的冒险，一个在焦虑和孤独中渐渐迷失自我的人,https://product.dangdang.com/23167360.html,9787208108448
语言与沉默——论语言、文学与非人道,https://product.dangdang.com/23372282.html,9787208113954
我们都是食人族,https://product.dangdang.com/29848579.html,9787208138858
有顶天家族--二代目归来 世纪文景出品。《有顶天家族》续篇、森见登美彦京都“毛球物语”第2弹！同名动漫热播中，樱井孝宏、能登麻美子献声。随书附赠一套四张定制书签，正面是独具个性的小说金句，背面可拼成完整图。,https://product.dangdang.com/29223680.html,9787208144163
鸟·凶宅·牧歌 阿里斯托芬、普劳图斯、维吉尔，三大西方古典名家；希腊神话喜剧、罗马计谋戏剧、罗马田园诗，三篇世界文学经典；译界泰斗杨宪益，翻译文化终身成就奖得主，名家名译,https://product.dangdang.com/26514924.html,9787208155466
无尽的玩笑（豆瓣年度外国小说，行读图书奖获奖作品，天才作家华莱士旷世巨作，一部吸引你、激活你、重塑你的高能小说） 入选《时代》周刊百大英语长篇小说；黑洞般吸引力的高智商神作；预言当下成瘾和孤独的群体症候,https://product.dangdang.com/29549269.html,9787208161757
隐 孙甘露、止庵诚意推荐。呈现历史背面的春秋世界。捕捉《左传》里的诗意微光，关注乱世中的个人命运。,https://product.dangdang.com/28508782.html,9787208161795
