DATE,QUANTITY,CODECONTENT
2025-03-05 20:00:00 -0500,1,9787309158403
2025-03-05 19:32:11 -0500,1,9787309164176
2025-03-05 19:20:31 -0500,1,9787408385885
2025-03-05 20:23:33 -0500,3,9787500170693
2025-03-05 20:25:45 -0500,2,9787500170709
2025-04-12 05:29:33 -0400,2,9787500477051
2025-03-05 19:31:00 -0500,1,9787500877332
2025-03-03 00:04:48 -0500,2,9787500881391
2025-04-12 05:52:34 -0400,1,9787501044474
2025-03-05 20:02:35 -0500,2,9787501063734
2025-04-12 07:03:18 -0400,2,9787501366637
2025-04-12 05:56:43 -0400,1,9787501372041
2025-04-12 07:04:51 -0400,1,9787503411700
2025-04-12 06:47:18 -0400,5,9787503951169
2025-04-12 06:03:47 -0400,2,9787503970030
2025-04-12 06:51:02 -0400,2,9787505442894
2025-04-12 06:50:45 -0400,1,9787505443334
2025-04-12 06:21:44 -0400,1,9787505743311
2025-03-05 20:21:40 -0500,1,9787505748255
2025-03-05 20:52:24 -0500,1,9787505755963
2025-03-05 01:42:33 -0500,1,9787506036771
2025-04-12 05:28:46 -0400,1,9787506052788
2025-03-05 00:59:53 -0500,1,9787506094757
2025-03-05 00:51:29 -0500,3,9787506318501
2025-03-05 01:42:43 -0500,5,9787506366755
2025-04-12 07:08:48 -0400,2,9787506369916
2025-04-12 06:40:40 -0400,1,9787506380263
2025-04-12 07:05:02 -0400,1,9787506386333
2025-03-05 01:00:23 -0500,2,9787506395229
2025-03-03 00:30:54 -0500,1,9787506396677
2025-03-05 20:37:00 -0500,3,9787506397810
2025-03-03 00:25:33 -0500,1,9787506397827
2025-03-05 20:53:34 -0500,1,9787508656120
2025-03-05 01:07:37 -0500,1,9787508671833
2025-03-05 20:27:40 -0500,1,9787508672205
2025-04-12 05:47:21 -0400,1,9787508677989
2025-04-12 06:47:09 -0400,5,9787508685885
2025-04-12 06:18:59 -0400,3,9787508689142
2025-03-03 00:05:33 -0500,6,9787508690797
2025-03-05 01:06:34 -0500,1,9787508691923
2025-04-12 05:58:56 -0400,1,9787508692814
2025-04-12 06:42:01 -0400,1,9787509016992
2025-04-12 06:59:33 -0400,2,9787509780640
2025-04-12 05:51:33 -0400,1,9787509799710
2025-03-03 00:03:20 -0500,2,9787510874826
2025-03-05 18:45:06 -0500,4,9787510875304
2025-03-05 01:08:05 -0500,1,9787510892745
2025-03-05 01:13:18 -0500,2,9787510893735
2025-03-05 20:08:33 -0500,1,9787511731845
2025-03-05 20:52:35 -0500,3,9787512514959
2025-04-12 06:39:48 -0400,2,9787513341011
2025-03-05 20:44:35 -0500,1,9787513342988
2025-04-11 23:31:09 -0400,3,9787513348669
2025-03-05 18:43:51 -0500,2,9787513349437
2025-03-05 20:59:35 -0500,1,9787513349598
2025-03-05 20:55:02 -0500,2,9787513351201
2025-03-05 20:01:32 -0500,1,9787513352512
2025-03-05 20:22:38 -0500,2,9787513352673
2025-03-05 00:59:41 -0500,1,9787513357371
2025-04-12 07:09:08 -0400,1,9787513402439
2025-04-12 07:09:12 -0400,1,9787513413824
2025-03-03 00:04:45 -0500,1,9787513560368
2025-03-05 20:07:00 -0500,2,9787513903509
2025-04-12 07:11:34 -0400,3,9787513905008
2025-03-05 01:49:01 -0500,1,9787514223408
2025-04-12 07:11:49 -0400,1,9787514235715
2025-04-12 07:07:22 -0400,1,9787514370409
2025-04-12 05:58:01 -0400,1,9787514616293
2025-04-12 07:06:56 -0400,2,9787514918939
2025-03-05 20:36:41 -0500,1,9787515215372
2025-04-12 06:49:54 -0400,1,9787515364667
2025-04-12 06:40:11 -0400,2,9787515522050
